Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-05-28,2026-06-15 06:56 CEST,BIS,https://data.bis.org/topics/RPP/data?q=Australia&selected_ts=BIS%2CWS_DPP%2C1.0%255EQ.AU.2.1.0.2.6.0&ccId=,https://data.bis.org/topics/RPP/data?q=Australia&selected_ts=BIS%2CWS_DPP%2C1.0%255EQ.AU.2.1.0.2.6.0&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COVERED_AREA:Covered area,RE_TYPE:Real estate type,RE_VINTAGE:Real estate vintage,COMPILING_ORG:Compiling agency,PRICED_UNIT:Priced unit,ADJUST_CODED:Seasonal adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2008-03-31,F:Free,,A:Normal value,88.5
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2008-06-30,F:Free,,A:Normal value,87.3
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2008-09-30,F:Free,,A:Normal value,85.7
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2008-12-31,F:Free,,A:Normal value,84.5
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2009-03-31,F:Free,,A:Normal value,83.9
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2009-06-30,F:Free,,A:Normal value,87.5
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2009-09-30,F:Free,,A:Normal value,91.1
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2009-12-31,F:Free,,A:Normal value,96.0
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2010-03-31,F:Free,,A:Normal value,103.2278
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2010-06-30,F:Free,,A:Normal value,105.2817
